GROUP;bdate;year.bdate;bday.count;city.id;city.title;amount.city;country.id;country.title;deactivated;last_seen.platform;last_seen.time;online;online_app;online_mobile;sex
1;15.10.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;7.0;1395885076.0;0;;;2
1;8.5.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;7.0;1359388498.0;0;;;2
1;20.12.1984;1984;287;151.0;Ufa;120;1.0;Russia;;7.0;1546107730.0;0;;;2
1;5.5.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;7.0;1372222105.0;0;;;2
1;21.10.1984;1984;287;151.0;Ufa;120;1.0;Russia;;7.0;1421757317.0;0;;;1
1;20.4.1984;1984;287;41.0;Vologda;250;1.0;Russia;;4.0;1546095091.0;0;;;1
1;15.4.1984;1984;287;1503094.0;Stary Krym;4;2.0;Ukraine;;7.0;1372620588.0;0;;;2
1;12.11.1984;1984;287;314.0;Kyiv;960;2.0;Ukraine;;7.0;1441887489.0;0;;;2
1;31.7.1984;1984;287;41.0;Vologda;250;1.0;Russia;;1.0;1546104085.0;0;;;2
1;18.9.1984;1984;287;2.0;Saint Petersburg;5113;1.0;Russia;;4.0;1546106935.0;0;;;2
1;2.4.1984;1984;287;1.0;Moscow;2446;1.0;Russia;;1.0;1543829085.0;0;;;2
1;12.7.1984;1984;287;;;0;;;;2.0;1393250091.0;0;;;1
